omega,F=1.00,F=3.12,F=5.24,F=7.35,F=9.47,F=11.59,F=13.71,F=15.82,F=17.94,F=20.06,F=22.18,F=24.29,F=26.41,F=28.53,F=30.65,F=32.76,F=34.88,F=37.00
0.001000,0.000197,0.000265,0.000304,0.000334,0.000359,0.000381,0.000401,0.000418,0.000434,0.000449,0.000463,0.000476,0.000489,0.000501,0.000512,0.000523,0.000533,0.000543
0.002000,0.000793,0.001067,0.001224,0.001345,0.001445,0.001533,0.001611,0.001681,0.001746,0.001806,0.001863,0.001916,0.001966,0.002013,0.002059,0.002102,0.002144,0.002184
0.003000,0.001800,0.002423,0.002779,0.003053,0.003281,0.003479,0.003656,0.003816,0.003963,0.004099,0.004227,0.004347,0.004460,0.004568,0.004671,0.004769,0.004864,0.004954
0.004001,0.003240,0.004368,0.005007,0.005498,0.005908,0.006263,0.006581,0.006868,0.007133,0.007378,0.007607,0.007823,0.008027,0.008220,0.008405,0.008581,0.008751,0.008914
0.005001,0.005144,0.006951,0.007964,0.008742,0.009391,0.009954,0.010457,0.010912,0.011331,0.011720,0.012083,0.012424,0.012748,0.013055,0.013347,0.013627,0.013896,0.014154
0.006001,0.007558,0.010250,0.011736,0.012876,0.013827,0.014653,0.015389,0.016057,0.016671,0.017241,0.017773,0.018274,0.018748,0.019199,0.019628,0.020039,0.020432,0.020811
0.007001,0.010545,0.014377,0.016449,0.018036,0.019359,0.020509,0.021534,0.022464,0.023319,0.024113,0.024854,0.025552,0.026213,0.026840,0.027438,0.028011,0.028560,0.029087
0.008001,0.014188,0.019497,0.022291,0.024425,0.026202,0.027747,0.029125,0.030375,0.031524,0.032591,0.033588,0.034527,0.035415,0.036259,0.037064,0.037834,0.038573,0.039283
0.009002,0.018598,0.025862,0.029550,0.032352,0.034684,0.036711,0.038518,0.040159,0.041667,0.043067,0.044377,0.045610,0.046776,0.047885,0.048942,0.049954,0.050924,0.051858
0.010002,0.023916,0.033866,0.038684,0.042314,0.045330,0.047950,0.050286,0.052407,0.054358,0.056169,0.057863,0.059458,0.060967,0.062402,0.063770,0.065080,0.066336,0.067545
0.011002,0.030313,0.044151,0.050459,0.055147,0.059027,0.062394,0.065396,0.068121,0.070627,0.072954,0.075131,0.077182,0.079123,0.080967,0.082727,0.084412,0.086029,0.087584
